placeholder_id,caminho,dominio,modulo,tipo,prioridade,funcao_esperada,especificacao_necessaria,dependencias,owner_necessario,testes_necessarios,criterios_de_aceite,riscos,recomendacao,confianca,status,aprovado_para_gate_5
605,03-channels/regenera-channel-partner-portal/CODEOWNERS,CANAIS,03-channels/regenera-channel-partner-portal,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
681,03-channels/regenera-channel-web-banking/.tool-versions,CANAIS,03-channels/regenera-channel-web-banking,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
684,03-channels/regenera-channel-web-banking/CODEOWNERS,CANAIS,03-channels/regenera-channel-web-banking,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1148,03-channels/regenera-channel-windows-operations/.tool-versions,CANAIS,03-channels/regenera-channel-windows-operations,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1154,03-channels/regenera-channel-windows-operations/CODEOWNERS,CANAIS,03-channels/regenera-channel-windows-operations,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1306,04-bffs/regenera-bff-mobile/.tool-versions,BFFs POR CANAL,04-bffs/regenera-bff-mobile,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1308,04-bffs/regenera-bff-mobile/CODEOWNERS,BFFs POR CANAL,04-bffs/regenera-bff-mobile,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1365,04-bffs/regenera-api-open-finance/.tool-versions,BFFs POR CANAL,04-bffs/regenera-api-open-finance,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1367,04-bffs/regenera-api-open-finance/CODEOWNERS,BFFs POR CANAL,04-bffs/regenera-api-open-finance,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1402,04-bffs/regenera-bff-operations/.tool-versions,BFFs POR CANAL,04-bffs/regenera-bff-operations,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1404,04-bffs/regenera-bff-operations/CODEOWNERS,BFFs POR CANAL,04-bffs/regenera-bff-operations,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1465,04-bffs/regenera-api-partners/.tool-versions,BFFs POR CANAL,04-bffs/regenera-api-partners,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1468,04-bffs/regenera-api-partners/CODEOWNERS,BFFs POR CANAL,04-bffs/regenera-api-partners,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1555,04-bffs/regenera-bff-web/.tool-versions,BFFs POR CANAL,04-bffs/regenera-bff-web,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1557,04-bffs/regenera-bff-web/CODEOWNERS,BFFs POR CANAL,04-bffs/regenera-bff-web,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1605,compose.yaml,FUNDAÇÃO DO WORKSPACE,compose.yaml,B,P1,Módulo de P1 classificado como B.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1617,08-iso20022/regenera-iso20022-adapters/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-adapters,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1619,08-iso20022/regenera-iso20022-adapters/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-adapters,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1654,08-iso20022/regenera-iso20022-mappings/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-mappings,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1656,08-iso20022/regenera-iso20022-mappings/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-mappings,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1691,08-iso20022/regenera-iso20022-messages/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-messages,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1693,08-iso20022/regenera-iso20022-messages/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-messages,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1728,08-iso20022/regenera-iso20022-schemas/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-schemas,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1730,08-iso20022/regenera-iso20022-schemas/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-schemas,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1766,08-iso20022/regenera-iso20022-tests/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-tests,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1768,08-iso20022/regenera-iso20022-tests/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-tests,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1803,08-iso20022/regenera-iso20022-validation/.tool-versions,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-validation,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1805,08-iso20022/regenera-iso20022-validation/CODEOWNERS,CONTRATOS E MENSAGERIA FINANCEIRA,08-iso20022/regenera-iso20022-validation,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1840,02-contracts/regenera-contracts-asyncapi/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-asyncapi,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1842,02-contracts/regenera-contracts-asyncapi/CODEOWNERS,CONTRATOS E MODELOS,02-contracts/regenera-contracts-asyncapi,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1884,02-contracts/regenera-contracts-error-catalog/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-error-catalog,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1886,02-contracts/regenera-contracts-error-catalog/CODEOWNERS,CONTRATOS E MODELOS,02-contracts/regenera-contracts-error-catalog,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1926,02-contracts/regenera-contracts-events/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-events,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1928,02-contracts/regenera-contracts-events/CODEOWNERS,CONTRATOS E MODELOS,02-contracts/regenera-contracts-events,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
1966,02-contracts/regenera-contracts-json-schema/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-json-schema,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
1968,02-contracts/regenera-contracts-json-schema/CODEOWNERS,CONTRATOS E MODELOS,02-contracts/regenera-contracts-json-schema,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2010,02-contracts/regenera-contracts-openapi/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-openapi,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2012,02-contracts/regenera-contracts-openapi/CODEOWNERS,CONTRATOS E MODELOS,02-contracts/regenera-contracts-openapi,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2060,02-contracts/regenera-contracts-sdk/.tool-versions,CONTRATOS E MODELOS,02-contracts/regenera-contracts-sdk,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2097,01-design-system/regenera-design-android/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-android,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2099,01-design-system/regenera-design-android/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-android,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2134,01-design-system/regenera-design-documentation/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-documentation,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2136,01-design-system/regenera-design-documentation/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-documentation,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2172,01-design-system/regenera-design-ios/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-ios,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2174,01-design-system/regenera-design-ios/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-ios,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2209,01-design-system/regenera-design-tokens/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-tokens,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2211,01-design-system/regenera-design-tokens/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-tokens,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2260,01-design-system/regenera-design-web/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-web,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2262,01-design-system/regenera-design-web/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-web,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2343,01-design-system/regenera-design-windows/.tool-versions,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-windows,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2345,01-design-system/regenera-design-windows/CODEOWNERS,DESIGN SYSTEM MULTIPLATAFORMA,01-design-system/regenera-design-windows,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
2382,06-risk-control/regenera-control-accounting/.tool-versions,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-control-accounting,C,P0,Módulo de P0 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2384,06-risk-control/regenera-control-accounting/CODEOWNERS,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-control-accounting,C,P0,Módulo de P0 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P0_SPEC_REQUIRED,FALSE
2405,06-risk-control/regenera-control-cosif/.tool-versions,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-control-cosif,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2407,06-risk-control/regenera-control-cosif/CODEOWNERS,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-control-cosif,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2470,05-core-banking/regenera-core-accounts/.tool-versions,SERVIÇOS DE DOMÍNIO,05-core-banking/regenera-core-accounts,C,P0,Módulo de P0 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2472,05-core-banking/regenera-core-accounts/CODEOWNERS,SERVIÇOS DE DOMÍNIO,05-core-banking/regenera-core-accounts,C,P0,Módulo de P0 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P0_SPEC_REQUIRED,FALSE
2542,06-risk-control/regenera-risk-aml/.tool-versions,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-risk-aml,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
2544,06-risk-control/regenera-risk-aml/CODEOWNERS,CONTROLE E CONFIABILIDADE,06-risk-control/regenera-risk-aml,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
