placeholder_id,caminho,tipo,prioridade_anterior,prioridade_corrigida,capacidade,dominio,modulo,consumidores,dependencias,contratos,risco_financeiro,risco_regulatorio,risco_seguranca,risco_operacional,impacto_da_ausencia,bloqueia_capacidades,implementacao_equivalente,conflito_relacionado,source_material_relacionado,contexto_ausente,justificativa,confianca,status,aprovado_para_gate_5
2681,domains/card-authorization/CODEOWNERS,C,P0,P3,auth,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3059,domains/customer-support/.tool-versions,C,P0,P3,customer,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3061,domains/customer-support/CODEOWNERS,C,P0,P3,customer,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3096,domains/customers/.tool-versions,C,P0,P3,customer,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3098,domains/customers/CODEOWNERS,C,P0,P3,customer,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3425,domains/identity/.tool-versions,C,P0,P3,identity,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3427,domains/identity/CODEOWNERS,C,P0,P3,identity,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3650,domains/ledger/.tool-versions,C,P0,P3,ledger,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3652,domains/ledger/CODEOWNERS,C,P0,P3,ledger,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
3940,domains/payment-orchestrator/.tool-versions,C,P0,P3,payment,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4012,domains/pix/.tool-versions,C,P0,P3,pix,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4014,domains/pix/CODEOWNERS,C,P0,P3,pix,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4125,domains/reconciliation/.tool-versions,C,P0,P3,reconciliation,CONTROLE E CONFIABILIDADE,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4127,domains/reconciliation/CODEOWNERS,C,P0,P3,reconciliation,CONTROLE E CONFIABILIDADE,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4332,domains/transactions/.tool-versions,C,P0,P3,transaction,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
4334,domains/transactions/CODEOWNERS,C,P0,P3,transaction,SERVIÇOS DE DOMÍNIO,domains,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
5662,governance/regulatory/cybersecurity/.tool-versions,C,P0,P3,security,GOVERNANÇA REGULATÓRIA,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
5778,governance/regulatory/pix/.tool-versions,C,P0,P3,pix,GOVERNANÇA REGULATÓRIA,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
5780,governance/regulatory/pix/CODEOWNERS,C,P0,P3,pix,GOVERNANÇA REGULATÓRIA,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6021,governance/runbooks/operations/accounting/.tool-versions,C,P0,P3,account,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6206,governance/runbooks/operations/customer-support/.tool-versions,C,P0,P3,customer,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6354,governance/runbooks/operations/payment/.tool-versions,C,P0,P3,payment,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6356,governance/runbooks/operations/payment/CODEOWNERS,C,P0,P3,payment,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6391,governance/runbooks/operations/pix/.tool-versions,C,P0,P3,pix,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6393,governance/runbooks/operations/pix/CODEOWNERS,C,P0,P3,pix,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
6428,governance/runbooks/operations/reconciliation/.tool-versions,C,P0,P3,reconciliation,OPERAÇÃO 24×7,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
7979,platform/security/appsec/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
7981,platform/security/appsec/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8016,platform/security/cloud/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8018,platform/security/cloud/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8053,platform/security/detection/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8055,platform/security/detection/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8090,platform/security/iam/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8092,platform/security/iam/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8127,platform/security/incident-response/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8164,platform/security/kms-hsm/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8166,platform/security/kms-hsm/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8201,platform/security/mobile/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8203,platform/security/mobile/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8238,platform/security/pam/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8240,platform/security/pam/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8275,platform/security/pki/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8277,platform/security/pki/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8312,platform/security/red-team/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8314,platform/security/red-team/CODEOWNERS,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8349,platform/security/threat-intelligence/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8386,platform/security/vulnerability-management/.tool-versions,C,P0,P3,security,SEGURANÇA TRANSVERSAL,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8675,platform/tools/migration-validator/.tool-versions,C,P0,P3,migration,FERRAMENTAS DE ENGENHARIA,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
8864,platform/tools/test-data/.tool-versions,C,P3,P3,platform,FERRAMENTAS DE ENGENHARIA,platform,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
9226,quality/security/.tool-versions,C,P0,P3,security,QUALIDADE E HOMOLOGAÇÃO,quality,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
9228,quality/security/CODEOWNERS,C,P0,P3,security,QUALIDADE E HOMOLOGAÇÃO,quality,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
9264,quality/test-data/.tool-versions,C,P2,P3,quality,QUALIDADE E HOMOLOGAÇÃO,quality,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
9266,quality/test-data/CODEOWNERS,C,P2,P3,quality,QUALIDADE E HOMOLOGAÇÃO,quality,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
9328,governance/release/repository-root/sonar-project.properties,C,P1,P3,Indefinida,FUNDAÇÃO DO WORKSPACE,governance,A Mapear,A Mapear,Ausente,BAIXO,BAIXO,BAIXO,BAIXO,MEDIO,NAO,NAO,NAO,NAO,Todas as definições,Reclassificado,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
