capability_id,capacidade,dominio,modulos_ativos,contratos,migrations,testes,consumidores,dependencias,maturidade,lacunas,conflito_relacionado,risco_financeiro,risco_regulatorio,risco_operacional,prioridade,proxima_acao,especificacao_necessaria,aprovacao_humana,status,aprovado_para_implementacao
CAP-IDEMPOTENCY,Idempotency,Idempotency,03-channels | 04-bffs | 05-core-banking,1,1,1,A Mapear,A Mapear,SKELETON_ONLY,Sem Observabilidade explícita,NAO,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-RECONCILIATION,Reconciliation,Reconciliation,03-channels | 07-integrations | 05-core-banking | 04-bffs | 06-risk-control,2,0,6,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-ACCOUNTING,Accounting,Accounting,05-core-banking | 06-risk-control,1,1,6,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-FRAUD,Fraud,Fraud,03-channels | 05-core-banking | 02-contracts | 09-data-platform | 06-risk-control,15,1,72,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-AML_KYC,AML/KYC,AML/KYC,03-channels | 07-integrations | 05-core-banking | 11-security | 04-bffs | 08-iso20022 | 02-contracts | 09-data-platform | 06-risk-control,62,0,22,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-REGULATORY_REPORTING,Regulatory Reporting,Regulatory Reporting,07-integrations | 09-data-platform | 06-risk-control,6,0,19,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-NOTIFICATIONS,Notifications,Notifications,03-channels | 04-bffs | 05-core-banking | 07-integrations,4,0,13,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-OPEN_FINANCE,Open Finance,Open Finance,03-channels | 04-bffs | 05-core-banking | 07-integrations,42,0,19,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-ISO_20022,ISO 20022,ISO 20022,08-iso20022,51,0,73,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-AUDIT_TRAIL,Audit Trail,Audit Trail,03-channels | 07-integrations | 05-core-banking | 11-security | 04-bffs | 08-iso20022 | 02-contracts | 09-data-platform | 06-risk-control,69,2,25,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Nenhuma detectada,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-AUTHORIZATION,Authorization,Authorization,03-channels | 04-bffs,0,0,0,A Mapear,A Mapear,BLOCKED_BY_CONTRACT,Sem Contratos | Sem Testes | Sem Observabilidade explícita,NAO,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-LIMITS,Limits,Limits,03-channels | 04-bffs | 05-core-banking,2,1,6,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,ALTO,P1,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-FEES,Fees,Fees,05-core-banking,1,0,6,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-SETTLEMENT,Settlement,Settlement,05-core-banking,1,0,6,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
