conflict_id,risco,descricao
3287,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3291,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3309,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
3429,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3433,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3506,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
3512,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3654,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3658,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3691,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
3693,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3694,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3765,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3769,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3787,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
3852,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3856,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
3874,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
3983,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4016,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4020,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4038,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
4129,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4133,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4153,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
4336,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4340,ALTO,Código fonte concorrente. Requer análise humana para combinar implementações ou escolher vencedora.
4358,ALTO,Arquivos de configuração com divergências requerem merge manual cauteloso.
