placeholder_id,caminho,classificacao_anterior,classificacao_corrigida,tipo,prioridade,placeholder_confirmado,intencionalmente_minimo,funcao_arquitetural,dominio,consumidores,contratos,invariantes,dependencias,contexto_ausente,owner_necessario,requisitos_de_seguranca,requisitos_de_observabilidade,testes_necessarios,criterios_de_aceite,relacao_com_conflito,relacao_com_source_material,recomendacao,confianca,status,aprovado_para_gate_5
367,apps/ios/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
603,apps/partner-developer-portal/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
605,apps/partner-developer-portal/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
681,apps/web-banking/.tool-versions,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
684,apps/web-banking/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1148,apps/windows-operations/.tool-versions,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1154,apps/windows-operations/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1306,bff/mobile-bff/.tool-versions,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1308,bff/mobile-bff/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1365,bff/open-finance-api/.tool-versions,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1367,bff/open-finance-api/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1402,bff/operations-bff/.tool-versions,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1404,bff/operations-bff/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1465,bff/partner-api-facade/.tool-versions,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1468,bff/partner-api-facade/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1555,bff/web-bff/.tool-versions,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1557,bff/web-bff/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de BFFs POR CANAL,BFFs POR CANAL,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1605,governance/release/repository-root/compose.yaml,B,C,C,P1,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1617,contracts/iso20022/adapters/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1619,contracts/iso20022/adapters/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1654,contracts/iso20022/mappings/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1656,contracts/iso20022/mappings/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1691,contracts/iso20022/messages/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1693,contracts/iso20022/messages/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1728,contracts/iso20022/schemas/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1730,contracts/iso20022/schemas/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1766,contracts/iso20022/tests/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1768,contracts/iso20022/tests/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1803,contracts/iso20022/validation/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1805,contracts/iso20022/validation/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MENSAGERIA FINANCEIRA,CONTRATOS E MENSAGERIA FINANCEIRA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1840,contracts/asyncapi/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1842,contracts/asyncapi/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1884,contracts/error-catalog/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1886,contracts/error-catalog/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1926,contracts/events/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1928,contracts/events/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
1966,contracts/json-schema/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
1968,contracts/json-schema/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2010,contracts/openapi/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
2012,contracts/openapi/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2060,contracts/sdk/.tool-versions,C,C,C,P3,SIM,NAO,Componente de CONTRATOS E MODELOS,CONTRATOS E MODELOS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
2097,design-system/android/.tool-versions,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2099,design-system/android/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2134,design-system/documentation/.tool-versions,C,C,C,P3,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
2136,design-system/documentation/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2172,design-system/ios/.tool-versions,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2174,design-system/ios/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2209,design-system/tokens/.tool-versions,C,C,C,P3,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
2211,design-system/tokens/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
2260,design-system/web/.tool-versions,C,C,C,P3,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
2262,design-system/web/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de DESIGN SYSTEM MULTIPLATAFORMA,DESIGN SYSTEM MULTIPLATAFORMA,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
